DIVERS;BALAI DE SOL;23,00;1 000;UNITE
DIVERS;BALAI CANTONNÉ;1100,00;1 900;UNITE
DIVERS;BROSSE WC 8078;379,00;850;UNITE
DIVERS;FACE MASK;427,00;2 000;BOITE
DIVERS;GAZON SYNTHETIQUE;4,00;350 000;ROULEAU
DIVERS;PINCEAU 100MM;1,00;76 000;CARTON
DIVERS;PINCEAU 40MM;3,00;90 000;CARTON
DIVERS;PINCEAU 50MM;7,00;100 000;CARTON
DIVERS;PINCEAU 60MM;5,00;100 000;CARTON
DIVERS;PINCEAU 70MM;4,00;120 000;CARTON
DIVERS;RIDEAU DE DOUCHE;51,00;1 800;UNITE
DIVERS;SERPIERE;121,00;7 000;DOUZAINE
CHARPENTE ET MENUISIERIE;BAGUETTE ATLANTICS 2.5;19,00;24 000;CARTON
CHARPENTE ET MENUISIERIE;BAGUETTE ATLANTICS 3.2;40,00;24 000;CARTON
CHARPENTE ET MENUISIERIE;CENTIMETRE JAUNE TRANSPARENT F2-13928-2;14,00;6 000;DOUZAINE
CHARPENTE ET MENUISIERIE;CENTIMETRE VERT F2-13928-1;79,00;7 000;DOUZAINE
CHARPENTE ET MENUISIERIE;COLLE TOP BOND 1KG;5,00;31 000;CARTON
CHARPENTE ET MENUISIERIE;COUTEAU D'ENDUIRE DE 16;2,00;66 000;CARTON
CHARPENTE ET MENUISIERIE;"EQUERRE 10""*12""";1,00;3 000;DOUZAINE
CHARPENTE ET MENUISIERIE;"EQUERRE 12""*14""";4,00;4 000;DOUZAINE
CHARPENTE ET MENUISIERIE;GRILLAGE FENETRE VITRIER 1M20;75,00;14 000;ROULEAU
CHARPENTE ET MENUISIERIE;GRILLAGE LAPIN 1M20 VERT;26,00;36 000;ROULEAU
CHARPENTE ET MENUISIERIE;GRILLAGE LAPIN GALVANISÉ 25M ORIGINAL;11,00;46 000;ROULEAU
CHARPENTE ET MENUISIERIE;GRILLAGE TAMI 1M20;66,00;13 500;ROULEAU
CHARPENTE ET MENUISIERIE;GRILLARGE POULLAILE 1M20 2DOIGT;6,00;38 000;ROULEAU
CHARPENTE ET MENUISIERIE;GRILLARGE POULLAILE 1M20 1DOIGT;1,00;46 000;ROULEAU
CHARPENTE ET MENUISIERIE;POINTE ACIER 10;1,00;23 000;CARTON
CHARPENTE ET MENUISIERIE;POINTE TAPICIER 1/2;9,00;23 000;CARTON
CHARPENTE ET MENUISIERIE;POINTE TAPICIER 3/4;54,00;23 000;CARTON
CHARPENTE ET MENUISIERIE;POINTE TAPICIER 5/8;1,00;23 000;CARTON
CHARPENTE ET MENUISIERIE;VERROU PAPILLON 40;18,00;47 500;CARTON
CHARPENTE ET MENUISIERIE;VERROU PAPILLON 50;9,00;49 500;CARTON
CHARPENTE ET MENUISIERIE;VICE DE RAPPEL 009CMECOC;54,00;70 000;CARTON
ELECTRICITÉ;AMPOULE GLOBE;18,00;4 500;UNITE
ELECTRICITÉ;ATTACHE DE 8 INGELEC;47,00;500;UNITE
ELECTRICITÉ;BOITE D'ENCARDREMENT INGELEC;1000,00;90;UNITE
ELECTRICITÉ;BOUTON A POUSSOI ETANCHE ENCASTRE 5881/53;3,00;60 000;CARTON
ELECTRICITÉ;CHEVILLE 10;160,00;500;BOITE
ELECTRICITÉ;CHEVILLE 8;3,00;500;BOITE
ELECTRICITÉ;COMPTEUR INGELEC DDS 1531;2,00;42 000;CARTON
ELECTRICITÉ;DOUBLE ETANCHE ENCASTRE 5882/20;4,00;75 000;CARTON
ELECTRICITÉ;PRISE ETANCHE ENCASTRE 4886;11,00;75 000;CARTON
ELECTRICITÉ;TUYAUX CUIVRE;61,00;110 000;ROULEAU
ELECTRICITÉ;VENTILATEUR CMC;23,00;22 000;UNITE
ELECTRICITÉ;VENTILATEUR ITC;77,00;22 000;UNITE
ELECTRICITÉ;VENTILATEUR PANASONIK;90,00;22 000;UNITE
ELECTRICITÉ;VENTILATEUR SMC;135,00;20 000;UNITE
MACONNERIE;BOTTES POINTURE 41;14,00;3 500;PAIRE
MACONNERIE;BOTTES POINTURE 42;90,00;3 500;PAIRE
MACONNERIE;BOTTES POINTURE 43;17,00;3 500;PAIRE
MACONNERIE;BOTTES POINTURE 44;20,00;3 500;PAIRE
MACONNERIE;BOTTES POINTURE 45;37,00;3 500;PAIRE
MACONNERIE;BOTTES POINTURE 47;49,00;3 500;PAIRE
MACONNERIE;BROUETTES (au complet, avec tous accessoires);7,00;20 500;UNITE
MACONNERIE;PERLES BLEU;1,00;1 800;UNITE
MACONNERIE;PIEERRE À MELER 50/CT;83,00;500;UNITE
MACONNERIE;PIERRE À COUPER 100/CT;413,00;500;UNITE
MACONNERIE;PIOCHE 2KILO;1,00;30 000;UNITE
MACONNERIE;PUNEU BROUETTE;237,00;4 500;UNITE
MACONNERIE;RACCORD D'EAU BLANC;22,00;17 000;ROULEAU
MACONNERIE;RACCORD D'EAU JAUNE;22,00;17 000;ROULEAU
MACONNERIE;RACCORD D'EAU VERT;6,00;17 000;ROULEAU
PLOMBERIE;ROBINET EVIER GOLD MIX;1,00;5 000;UNITE
PLOMBERIE;ABATTAN LOURD;193,00;6 000;UNITE
PLOMBERIE;ABATTAN PARMA ;85,00;3 500;UNITE
PLOMBERIE;ABATTANT WC COMBINE J2-SC1770;5;30 000;UNITE
PLOMBERIE;ABATTANT WC COMBINE J2-SC1767;5;30 000;UNITE
PLOMBERIE;ACCESOIRE PARMA;105,00;11 500;UNITE
PLOMBERIE;BALLON FLOTTEUR NOIRE;20,00;5 500;UNITE
PLOMBERIE;BOMBONE À EAU;15,00;1 500;UNITE
PLOMBERIE;BONDE LAVABO FIRMER;113,00;4 500;UNITE
PLOMBERIE;BOUCHON FOSSES SEPTIQUES;80,00;15 000;UNITE
PLOMBERIE;BOUCHON GALVA 15/21 FEMELLE;1,00;75;UNITE
